Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value]&op=dec,1366152,0,41,40.646173339423434,40,56,5.0,759.1315707091502,0.0,41,41,41,41,41,41,42,42,42,45,56
GET,/api/update?value=[value]&op=inc,1362307,0,41,40.64656865155945,40,56,5.0,756.9950142429761,0.0,41,41,41,41,41,41,42,42,42,44,56
GET,on_start_inc,64,0,41,40.8125,40,45,5.0,0.03556296848768337,0.0,41,41,41,41,41,42,42,45,45,45,45
GET,on_start_setup,64,0,1,2.734375,0,69,5.0,0.03556296848768337,0.0,1,2,2,2,3,4,11,69,69,69,69
,Aggregated,2728587,0,41,40.645485373931635,0,69,5.0,1516.1977108891017,0.0,41,41,41,41,41,41,42,42,42,45,69
