Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/query?value=[value]&op=exists,14225,0,41,41.004499121265376,40,57,2.0,23.725081089468297,0.0,41,41,41,41,41,41,42,42,42,55,57
GET,on_start,64,0,41,41.5,41,63,5.0,0.10674201685244084,0.0,41,41,41,41,42,42,42,63,63,63,63
,Aggregated,14289,0,41,41.00671845475541,40,63,2.0134369095108124,23.831823106320737,0.0,41,41,41,41,41,41,42,42,42,57,63
