Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value]&op=dec,1345197,0,41,41.34929010397734,40,56,5.0,747.6590490061403,0.0,41,42,42,42,42,42,43,43,44,46,56
GET,/api/update?value=[value]&op=inc,1346332,0,41,41.349701262392934,40,57,5.0,748.2898807881187,0.0,41,42,42,42,42,42,43,43,44,46,57
GET,on_start,64,0,2,3.21875,1,68,5.0,0.03557113131860462,0.0,2,2,3,3,4,5,13,68,68,68,68
,Aggregated,2691593,0,41,41.34858910689692,1,68,5.0,1495.9845009255775,0.0,41,42,42,42,42,42,43,43,44,46,68
