Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value],14460,0,40,40.46715076071923,40,56,5.0,24.11732752880557,0.0,40,41,41,41,41,41,41,41,42,44,56
GET,on_start,16,0,41,42.6875,41,67,5.0,0.02668583958927311,0.0,41,41,41,41,42,67,67,67,67,67,67
,Aggregated,14476,0,40,40.46960486322188,40,67,5.0,24.144013368394845,0.0,40,41,41,41,41,41,41,41,42,56,67
