Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value]&op=dec,1361328,0,41,40.692034542740615,40,55,5.0,756.4449990212948,0.0,41,41,41,41,41,41,42,42,42,44,55
GET,/api/update?value=[value]&op=inc,1363283,0,41,40.69260747768438,40,55,5.0,757.5313279391505,0.0,41,41,41,41,41,41,42,42,42,44,55
GET,on_start,64,0,1,3.0,1,71,5.0,0.03556268580192494,0.0,1,2,2,3,3,4,14,71,71,71,71
,Aggregated,2724675,0,41,40.691435859322674,1,71,5.0,1514.0118896462473,0.0,41,41,41,41,41,41,42,42,42,44,71
