Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/query?value=[value]&op=exists,14225,0,41,41.00428822495606,40,56,2.0,23.723983617249438,0.0,41,41,41,41,41,41,42,42,42,56,56
GET,on_start,64,0,41,41.515625,41,65,5.0,0.10673707919184282,0.0,41,41,41,41,42,42,42,65,65,65,65
,Aggregated,14289,0,41,41.006578486948,40,65,2.0134369095108124,23.830720696441283,0.0,41,41,41,41,41,41,42,42,42,56,65
