Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/query?value=[value]&op=exists,14283,0,41,40.994258909192745,40,56,2.0,23.82231094986975,0.0,41,41,41,41,41,41,42,42,42,54,56
GET,on_start,8,0,41,43.875,41,63,5.0,0.013343029307495483,0.0,41,41,42,42,63,63,63,63,63,63,63
,Aggregated,14291,0,41,40.99587152753481,40,63,2.0016793786299067,23.835653979177245,0.0,41,41,41,41,41,41,42,42,42,56,63
