Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/query?value=[value]&op=exists,14266,0,41,41.01268750876209,40,55,2.0,23.793239398753965,0.0,41,41,41,41,41,41,42,42,42,52,55
GET,on_start,16,0,41,43.75,41,82,5.0,0.026685253776816447,0.0,41,41,42,42,42,82,82,82,82,82,82
,Aggregated,14282,0,41,41.015754096064974,40,82,2.003360873827195,23.81992465253078,0.0,41,41,41,41,41,41,42,42,42,55,82
