Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1674710562,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1674710563,1,,Aggregated,0.000000,0.000000,42,42,42,42,43,59,61,61,61,61,61,22,0,42,43.72727272727273,42,61,5.954545454545454
1674710564,2,,Aggregated,0.000000,0.000000,42,42,42,42,42,43,59,61,61,61,61,70,0,42,41.6,2,61,5.9714285714285715
1674710565,3,,Aggregated,16.000000,0.000000,41,42,42,42,42,42,43,59,61,61,61,141,0,41,41.148936170212764,1,61,5.9787234042553195
1674710566,4,,Aggregated,29.000000,0.000000,41,41,42,42,42,42,43,43,61,61,61,237,0,41,40.9957805907173,1,61,6.371308016877637
1674710567,5,,Aggregated,41.333333,0.000000,41,41,42,42,42,42,43,43,61,61,61,356,0,41,41.002808988764045,1,61,6.575842696629214
1674710568,6,,Aggregated,53.250000,0.000000,41,41,42,42,42,42,43,43,61,61,61,500,0,41,41.0,1,61,6.694
1674710569,7,,Aggregated,65.400000,0.000000,41,41,42,42,42,42,42,43,61,61,61,667,0,41,40.99850074962519,1,61,6.767616191904048
1674710570,8,,Aggregated,77.333333,0.000000,41,41,42,42,42,42,42,43,61,61,61,859,0,41,41.006984866123396,1,61,6.817229336437718
1674710571,9,,Aggregated,89.285714,0.000000,41,41,42,42,42,42,42,43,59,61,61,1072,0,41,41.01212686567164,1,61,6.851679104477612
1674710572,10,,Aggregated,101.375000,0.000000,41,41,42,42,42,42,42,43,59,61,61,1312,0,41,41.02210365853659,1,61,6.877286585365853
1674710573,11,,Aggregated,113.111111,0.000000,41,41,42,42,42,42,42,43,59,61,61,1573,0,41,41.02034329307057,1,61,6.8963763509218055
1674710574,12,,Aggregated,125.200000,0.000000,41,41,42,42,42,42,42,43,59,61,61,1861,0,41,41.034927458355725,1,61,6.911337990327781
1674710575,13,,Aggregated,149.100000,0.000000,41,41,42,42,42,42,42,43,43,61,61,2171,0,41,41.03869184707508,1,61,6.923076923076923
1674710576,14,,Aggregated,172.900000,0.000000,41,41,42,42,42,42,42,42,43,61,61,2506,0,41,41.04549082202713,1,61,6.932561851556265
1674710577,15,,Aggregated,196.900000,0.000000,41,41,42,42,42,42,42,43,43,61,61,2862,0,41,41.057302585604475,1,61,6.940251572327044
1674710578,16,,Aggregated,220.700000,0.000000,41,41,42,42,42,42,42,42,43,61,61,3244,0,41,41.06196054254007,1,61,6.946670776818742
1674710579,17,,Aggregated,244.300000,0.000000,41,41,42,42,42,42,42,43,49,61,61,3649,0,41,41.09043573581803,1,61,6.9520416552480135
1674710580,18,,Aggregated,268.100000,0.000000,41,41,42,42,42,42,42,43,49,61,61,4074,0,41,41.09867452135494,1,61,6.956553755522828
