Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value],14420,0,40,40.45194174757282,40,47,5.0,24.05123037028086,0.0,40,41,41,41,41,41,41,41,42,47,47
GET,on_start,64,0,41,41.546875,41,66,5.0,0.10674609873078883,0.0,41,41,41,41,42,42,42,66,66,66,66
,Aggregated,14484,0,40,40.45677989505661,40,66,5.0,24.157976469011647,0.0,40,41,41,41,41,41,41,41,42,47,66
