Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value],2691475,0,41,41.345435866950275,40,59,5.0,1495.974792780804,0.0,41,42,42,42,42,42,43,43,44,46,59
GET,on_start,64,0,2,3.109375,1,67,5.0,0.03557245998494188,0.0,2,2,2,3,3,5,17,67,67,67,67
,Aggregated,2691539,0,41,41.34452668157511,1,67,5.0,1496.0103652407888,0.0,41,42,42,42,42,42,43,43,44,46,67
