Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/query?value=[value]&op=exists,14213,0,41,41.045873496095126,40,57,2.0,23.70429589484131,0.0,41,41,41,41,41,42,42,42,42,53,57
GET,on_start,64,0,41,41.546875,41,68,5.0,0.10673854480193089,0.0,41,41,41,41,42,42,42,68,68,68,68
,Aggregated,14277,0,41,41.04811935280521,40,68,2.0134482034040766,23.81103443964324,0.0,41,41,41,41,41,42,42,42,42,57,68
