Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value],2746995,0,40,40.408560991192196,40,54,5.0,1526.76815161969,0.0,40,41,41,41,41,41,41,41,42,43,54
GET,on_start,64,0,1,2.421875,0,68,5.0,0.03557092812460894,0.0,1,1,2,2,3,3,7,68,68,68,68
,Aggregated,2747059,0,40,40.407675990941584,0,68,5.0,1526.8037225478145,0.0,40,41,41,41,41,41,41,41,42,43,68
