Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value],14433,0,41,40.5598974572161,40,56,5.0,24.072191468126015,0.0,41,41,41,41,41,41,41,41,42,44,56
GET,on_start,8,0,41,44.0,41,64,5.0,0.01334286231171677,0.0,41,41,42,42,64,64,64,64,64,64,64
,Aggregated,14441,0,41,40.56180319922443,40,64,5.0,24.08553433043773,0.0,41,41,41,41,41,41,41,41,42,56,64
