Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value],16790,450,4700,6636.678737343657,149,151812,4.8659916617033945,9.2505343336532,0.2479297468817117,4700,5600,6200,6600,7500,8300,60000,61000,121000,136000,152000
GET,on_start,64,21,27000,30959.296875,203,60002,3.359375,0.03526111955651011,0.011570054854479879,28000,58000,60000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,16854,471,4700,6729.039456508841,149,151812,4.860270558917764,9.285795453209708,0.2594998017361916,4700,5600,6200,6600,7600,8400,60000,61000,121000,136000,152000
