Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value]&op=dec,1347075,0,41,41.348245643338345,40,59,5.0,748.6903001073216,0.0,41,42,42,42,42,42,43,43,44,46,59
GET,/api/update?value=[value]&op=inc,1344487,0,41,41.34886689123807,40,61,5.0,747.2519165750924,0.0,41,42,42,42,42,42,43,43,44,46,61
GET,on_start,64,0,2,3.484375,1,66,5.0,0.035570535572903204,0.0,2,2,3,4,5,6,20,66,66,66,66
,Aggregated,2691626,0,41,41.34765565498327,1,66,5.0,1495.977787217987,0.0,41,42,42,42,42,42,43,43,44,46,66
