Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value],2722610,0,41,40.73216839723648,40,56,5.0,1513.171141530446,0.0,41,41,41,41,41,42,42,42,42,44,56
GET,on_start,64,0,1,2.203125,0,63,5.0,0.03556989545250643,0.0,1,1,1,2,2,3,3,63,63,63,63
,Aggregated,2722674,0,41,40.73126272186828,0,63,5.0,1513.2067114258984,0.0,41,41,41,41,41,42,42,42,42,44,63
