Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value],14462,0,40,40.493500207440185,40,42,5.0,24.119795175122302,0.0,40,41,41,41,41,41,41,42,42,42,42
GET,on_start,8,0,41,43.75,41,62,5.0,0.013342439593484886,0.0,41,41,42,42,62,62,62,62,62,62,62
,Aggregated,14470,0,40,40.495300621976504,40,62,5.0,24.13313761471579,0.0,40,41,41,41,41,41,41,42,42,42,62
