Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/query?value=[value]&op=exists,14271,0,41,41.012683063555464,40,56,2.0,23.80075594392343,0.0,41,41,41,41,41,42,42,42,42,54,56
GET,on_start,16,0,41,42.8125,41,65,5.0,0.026684331518658462,0.0,41,42,42,42,42,65,65,65,65,65,65
,Aggregated,14287,0,41,41.01469867711906,40,65,2.0033596976272134,23.82744027544209,0.0,41,41,41,41,41,42,42,42,42,56,65
