Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/update?value=[value],4262017,0,15,24.49452336769187,0,1077,5.0,2368.559194138381,0.0,15,41,41,41,43,44,45,46,48,1000,1100
GET,on_start,64,0,4,4.671875,0,15,5.0,0.035567147767091585,0.0,5,6,7,8,10,11,12,15,15,15,15
,Aggregated,4262081,0,15,24.494225708052006,0,1077,5.0,2368.594761286148,0.0,15,41,41,41,43,44,45,46,48,1000,1100
